Dep.Var	Stress	Category	Morph.Type	Before	After	Speaker	YOB	Sex	Education	Job	Phoneme.Dep.Var
Realized	Stressed	Function	Mono	Vowel	Vowel	GREM45	1945	M	Not Educated	Blue	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	HAWM90	1990	M	Not Educated	Blue	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	HAWM90	1990	M	Not Educated	Blue	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	HOLF49	1949	F	Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	HOLM52	1952	M	Not Educated	Blue	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	HOLM52	1952	M	Not Educated	Blue	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	INGM84	1984	M	Educated	Service	t--Flap
Deletion	Stressed	Function	Mono	Vowel	Vowel	INGM84	1984	M	Educated	Service	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Vowel	INGM87	1987	M	Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	INGM87	1987	M	Educated	Service	t--Flap
Deletion	Stressed	Function	Mono	Vowel	Vowel	JOCF91	1991	F	Student	Student	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Vowel	JOCF91	1991	F	Student	Student	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	JOYF91	1991	F	Student	Student	t--Glottal Stop
Realized	Stressed	Function	Mono	Vowel	Vowel	JOYF91	1991	F	Student	Student	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	KAYF29	1929	F	Not Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	KAYF29	1929	F	Not Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	KAYM29	1929	M	Not Educated	Blue	t--Fricative
Realized	Stressed	Function	Mono	Vowel	Vowel	LATF53	1953	F	Educated	Service	t--Affricate
Realized	Stressed	Function	Mono	Vowel	Vowel	LATF53	1953	F	Educated	Service	t--Flap
Deletion	Stressed	Function	Mono	Vowel	Vowel	LELM91	1991	M	Student	Student	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Vowel	LEOF66	1966	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	LEOF66	1966	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	MARM92	1992	M	Student	Student	t--Fricative
Realized	Stressed	Function	Mono	Vowel	H	MARM92	1992	M	Student	Student	t--Glottal Stop
